id,name,csp,cso,logo,service_offering,status,authorization,reuse,ready_status,ready_date,ip_jab_status,ip_jab_date,ip_agency_status,ip_agency_date,ip_pmo_status,ip_pmo_date,auth_date,auth_type,fedramp_ready,partnering_agency,fedramp_auth,annual_assessment,independent_assessor,service_model,deployment_model,impact_level,impact_level_number,leveraged_systems,agency_authorizations,agency_reuse,service_desc,sales_email,security_email,website,uei,small_business,business_function,service_last_90,all_others,filter_classes
F1607067912,18F - 18F Cloud.gov,18F - 18F Cloud.gov,Cloud.Gov,https://www.fedramp.gov/assets/img/logos/CSP_logos/Cloud.gov%20Logo.png,Cloud.Gov,FedRAMP Authorized,18,17,Not Active,2016-05-20T20:00:00.000Z,Not Active,2016-08-09T20:00:00.000Z,Not Active,Not Agency Partnered,Not Active,Not In Process,2017-02-02T20:00:00.000Z,JAB,2016-05-20T20:00:00.000Z,Not In Process,2017-02-02T20:00:00.000Z,01/18,SecureIT,['PaaS'],Government Community Cloud,Moderate,3,[],"['Alcohol and Tobacco Tax and Trade Bureau', 'Defense Information Systems Agency', 'Department of Agriculture', 'Department of Education', 'Environmental Protection Agency', 'Federal Deposit Insurance Corporation', 'Federal Election Commission', 'Federal Retirement Thrift Investment Board', 'General Services Administration', 'Internal Revenue Service', 'JAB Authorization', 'National Science Foundation', 'Office of Natural Resources Revenue', 'Office of Personnel Management', 'Social Security Administration', 'United States Agency for International Development', 'United States Census Bureau', 'United States Forest Service']",[''],"Cloud.gov is designed and operated by US government workers, for US government work. Cloud.gov reduces the barriers to rapid, incremental, compliant, secure, and scalable delivery of government services by all government agencies, leveraging best-of-breed modern practices. Cloud.gov provides a Platform-as-a-Service (PaaS) based on Cloud Foundry, enabling instant provisioning of services and environments, easy deployment of applications, and rapid scaling to match demand. Cloud.gov includes tools to quickly incorporate 800-53 NIST control documentation into easily-prepared and comprehensive System Security Plans (SSPs) for evaluation by local agency information security organizations or FedRAMP, reducing the time it takes for teams to gain Authority To Operate (ATO).",inquiries@cloud.gov,support@cloud.gov,https://www.cloud.gov,,No,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-JAB filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-SecureIT filter-service-model-PaaS filter-business-function-
F1305012100,1901 Group,1901 Group,in3sight,https://www.fedramp.gov/assets/img/logos/CSP_logos/1901%20Logo.png,in3sight,FedRAMP Authorized,3,2,Not Active,No FRR Date,Not Active,Not Active,Not Active,2015-07-24T20:00:00.000Z,Not Active,2015-08-14T20:00:00.000Z,2016-05-01T20:00:00.000Z,Agency,No FRR Date,Not In Process,2016-05-01T20:00:00.000Z,01/12,"Coalfire Systems, Inc.",['SaaS'],Hybrid Cloud,Moderate,3,[],"['Bureau of Alcohol, Tobacco, Firearms and Explosives', 'Federal Trade Commission', 'United States Access Board']",[''],"The 1901 Group’s Software as a Service (SaaS) Government Community Cloud, In3Sight provides customers monitoring and management of their IT infrastructure. The personnel supporting In3Sight, and its customers are physically located in the United States, and the In3Sight SaaS offering is hosted within geographically disperse data centers that comply with stringent security & compliance requirements. The In3Sight SaaS offering supports customer's voice, email, storage, network, and other critical applications on an “as a Service” basis.",,fedramp@1901group.com,https://www.1901group.com/,,Yes,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Hybrid-Cloud filter-small-business-Yes filter-assessor-Coalfire-Systems-Inc- filter-service-model-SaaS filter-business-function-
FR2135915901,3M,3M,RevCycle Health Services Platform (RHSP),https://www.fedramp.gov/assets/img/logos/CSP_logos/3M%20Logo.png,RevCycle Health Services Platform (RHSP),FedRAMP Authorized,1,0,Not Active,No FRR Date,Not Active,Not Active,Not Active,2021-12-08T20:00:00.000Z,Not Active,2022-02-04T20:00:00.000Z,2022-05-12T20:00:00.000Z,Agency,No FRR Date,Not In Process,2022-05-12T20:00:00.000Z,02/04,"Coalfire Systems, Inc.",['SaaS'],Government Community Cloud,Moderate,3,[],['Department of Veterans Affairs'],[''],"RevCycle Health Services Platform (RHSP) is a platform which hosts and supports the operations of key 3M Health Software Systems. These systems include (but are not limited to) Natural Language Processing (NLP) for automatic suggestion of CPT® and ICD codes; GPCS (Grouper Plus Content Services) providing reliable, classification, grouping, edits and reimbursement content; Clinical Documentation Integrity (CDI); Enterprise Analytics reporting; worksheet services; clinician created document input; medical coding edits; medical evaluation and management; medical coding assistance system. RHSP utilizes robust AI-inclusive methodologies to create a comprehensive multi-service platform to derive medical codes, assist with medical terminology, and ease the provider workflow.
",,fedramp-his@mmm.com,https://www.3mhis.com,,No,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Coalfire-Systems-Inc- filter-service-model-SaaS filter-business-function-
FR2307441316,Absolute Software ,Absolute Software ,Absolute Secure Endpoint product suite ,https://www.fedramp.gov/assets/img/logos/CSP_logos/Absolute%20Logo2.png,Absolute Secure Endpoint product suite ,FedRAMP Ready,0,0,2022-12-13T20:00:00.000Z,2022-12-13T20:00:00.000Z,Not Active,Not Active,Not Active,Not Agency Partnered,Not Active,Not In Process,Not Active,JAB,2022-12-13T20:00:00.000Z,Not In Process,Not Active,,Kratos,['SaaS'],Public Cloud,Moderate,3,[],[''],[''],"The Absolute Secure Endpoint product suite provides an agent-based endpoint resilience solution that leverages Absolute Persistence®, a unique, patented technology embedded in the firmware of 600+ million devices. 

This technology delivers an unbreakable connection between the endpoint and the Absolute Secure Endpoint SaaS and provides the source of truth for device and application health; automatic self-healing of mission critical applications and security controls; and a lifeline to protect at-risk devices and data, including the ability to locate, freeze, and wipe missing or lost devices in accordance with NIST standards. This allows agency IT and security teams to increase their cyber-resiliency, strengthen their security posture, and ensure compliance.",fedramp@absolute.com,fedramp@absolute.com,https://www.absolute.com/,,No,"['Cybersecurity & Risk Management', 'Fleet Management']",[''],[''], filter-status-FedRAMP-Ready filter-impact-level-Moderate filter-auth-type-JAB filter-deployment-model-Public-Cloud filter-small-business-No filter-assessor-Kratos filter-service-model-SaaS filter-business-function-Cybersecurity-Risk-Management filter-business-function-Fleet-Management
FR1707156421,Acadis,Acadis,Acadis Readiness Suite,https://www.fedramp.gov/assets/img/logos/CSP_logos/Acadis%20Logo.png,Acadis Readiness Suite,FedRAMP Authorized,7,6,Not Active,No FRR Date,Not Active,Not Active,Not Active,2018-05-09T20:00:00.000Z,Not Active,2019-04-30T20:00:00.000Z,2019-06-05T20:00:00.000Z,Agency,No FRR Date,Not In Process,2019-06-05T20:00:00.000Z,05/31,Kratos,['SaaS'],Government Community Cloud,Moderate,3,[],"['Customs and Border Protection', 'Department of Homeland Security', 'Department of State', 'Department of Veterans Affairs', 'Drug Enforcement Administration', 'Federal Law Enforcement Training Centers', 'National Nuclear Security Administration / Nevada Field Office']",[''],"Acadis is dedicated to ensuring our Law Enforcement, Government, Public Safety and Military personnel are trained, equipped and mission ready. Our flagship product, the Acadis Readiness Suite, is an enterprise Software-as-a-Service solution, hosted securely in a FedRAMP-authorized datacenter. Unlike generic platforms, Acadis is designed specifically for government training operations, and is an operational and essential shared service for many DHS agencies for modernizing high-risk training operations. As such, it meets the unique needs of the Federal, Public Safety, and Military workforce.",federal-sales@acadis.com,fedramp@acadis.com,https://www.acadis.com/,N8MAWLN45HN5SAM,No,['Education & Training'],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Kratos filter-service-model-SaaS filter-business-function-Education-Training
F1511167634,"Accellion USA, LLC.","Accellion USA, LLC.",Kiteworks Federal Cloud,https://www.fedramp.gov/assets/img/logos/CSP_logos/Accellion%20Logo.png,Kiteworks Federal Cloud,FedRAMP Authorized,16,17,Not Active,No FRR Date,Not Active,Not Active,Not Active,2015-12-17T20:00:00.000Z,Not Active,2017-03-02T20:00:00.000Z,2017-06-01T20:00:00.000Z,Agency,No FRR Date,Not In Process,2017-06-01T20:00:00.000Z,05/24,"Coalfire Systems, Inc.",['SaaS'],Hybrid Cloud,Moderate,3,"[{'id': 'FR1819057982', 'csp': 'The Coleridge Initiative, Inc.', 'cso': 'Administrative Data Research Facility (ADRF)', 'status': 'FedRAMP Authorized', 'impact_level': 'Moderate', 'impact_level_number': '3'}]","['Corporation for National & Community Service', 'Council of the Inspectors General on Integrity and Efficiency', 'Department of Agriculture', 'Department of Commerce', 'Department of Health and Human Services', 'Department of Labor', 'Department of State', 'FHFA Office of the Inspector General', 'Federal Housing Finance Agency', 'Federal Trade Commission', 'First Responder Network Authority', 'Internal Revenue Service', 'National Nuclear Security Administration', 'National Science Foundation', 'Other Federal Entity', 'VA Office of the Inspector General']","['22-025', '22-034']","Accellion's secure file sharing platform, kiteworks, enables government agencies to securely connect their content to the people and systems that are part of their critical business systems processes, regardless of the applications that create that content or where it is stored, while maintaining the controls and visibility needed to demonstrate compliance. Protect your most sensitive content with a proven security model and integration with your existing security infrastructure. With kiteworks, your content is run through your DLP and ATP technologies to prevent malware and breaches; your users are authorized by your LDAP / AD profiles, Single Sign On and Multi-Factor Authentication solution; and all events / logs are integrated with your SIEM system. Accellion kiteworks provides simple access to content from the internet, a mobile device, or email. With secure plug-ins for Microsoft Outlook, as well as Microsoft Office 365 online or Microsoft Office desktop products, users can easily and securely send sensitive content via email with a single click, or collaborate using familiar applications and save updated versions directly to all connected repositories. Intuitive interfaces allow access from a web browser or via mobile apps for iOS or Android devices. Extensive governance controls over all file sharing activity across your content stores enables government agencies to have full visibility into where data is stored, what data is being shared, and who has viewed, downloaded, or edited that data. Accellion features granular policy controls and trusted audit logs at the file, folder, and repository level enable compliance with SOC-2 (SSAE-16), FISMA, FIPS 140-2, PCI-DSS environments, ITAR, and EAR. Accellion kiteworks is available to Federal Government customers in isolated environments on Amazon Cloud. The system is accessed and maintained by US citizens however Accellion does not have access to any content. The kiteworks FedRAMP package features: - Separate customer virtual private cloud (VPC) for all processing - Dedicated servers - Data isolated from all other customers - Encrypted file storage and transfer - Sole encryption key ownership - Accellion does not have access - Remote wipe for all mobile clients - Reporting and audit trails - Continuous Monitoring for intrusions and other threats - includes vulnerability and penetration scanning as well as rigorous, proactive remediation, plan of action and milestones for mediation tracking To learn more about what Accellion kiteworks can do for government agencies, please visit:https://www.accellion.com/government.",,fbalonis@accellion.com,http://www.accellion.com/government,,Yes,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Hybrid-Cloud filter-small-business-Yes filter-assessor-Coalfire-Systems-Inc- filter-service-model-SaaS filter-business-function-
FR1834336116,Accenture Federal Services,Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,https://www.fedramp.gov/assets/img/logos/CSP_logos/Accenture%20Logo.png,Accenture Extended Detection and Response (XDR) for government,FedRAMP Authorized,4,3,Not Active,No FRR Date,Not Active,Not Active,Not Active,2018-12-10T20:00:00.000Z,Not Active,2019-10-18T20:00:00.000Z,2020-01-28T20:00:00.000Z,Agency,No FRR Date,Not In Process,2020-01-28T20:00:00.000Z,10/18,"Schellman Compliance, LLC",['SaaS'],Government Community Cloud,Moderate,3,[],"['Department of Commerce', 'Federal Retirement Thrift Investment Board', 'Office of Natural Resources Revenue']",[''],"Accenture Extended Detection and Response (XDR) for government service is a proactive security platform designed for Federal agencies and customers. This scalable threat monitoring service enables all Continental United States (CONUS) government entities trusted and reliable cyber defense at a fraction of the cost of traditional 24/7 in-house incident response programs. XDR provides security monitoring using real-time threat intel and Security Orchestration, Automation and Response (SOAR) capabilities to decrease the mean time to resolution on all security incidents. XDR is built in the cloud to provide maximum availability and scalability.",xdr.compliance@accenturefederal.com,xdr.compliance@accenturefederal.com,https://www.accenture.com/us-en/services/us-federal-government/xdr-government,,No,"['Cybersecurity & Risk Management', 'Operations Management']",[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Schellman-Compliance-LLC filter-service-model-SaaS filter-business-function-Cybersecurity-Risk-Management filter-business-function-Operations-Management
F1404043549,Accenture Federal Services,Accenture Federal Services,Accenture Federal Cloud ERP,https://www.fedramp.gov/assets/img/logos/CSP_logos/Accenture%20Logo.png,Accenture Federal Cloud ERP,FedRAMP Authorized,2,1,Not Active,No FRR Date,Not Active,Not Active,Not Active,2016-03-21T20:00:00.000Z,Not Active,2016-06-20T20:00:00.000Z,2016-06-24T20:00:00.000Z,Agency,No FRR Date,Not In Process,2016-06-24T20:00:00.000Z,08/11,"Coalfire Systems, Inc.",['SaaS'],Government Community Cloud,Moderate,3,[],"['Federal Energy Regulatory Commission', 'National Science Foundation']",[''],"Accenture Federal Cloud ERP is a secure cloud offering delivering virtualized back-office ERP solutions, covering Financial Management, Property/Asset Management, HR and Payroll, to US federal customers. Accenture leverages Oracle applications (E-Business Suite, PeopleSoft, OBIEE, Hyperion) and other COTS applications (Sunflower), cloud technology and assets from 20+ years of experience to help customers to meet their unique mission requirements.",,FedRAMP@accenturefederal.com,https://www.accenture.com/us-en/afs-industry-index.aspx,,No,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Coalfire-Systems-Inc- filter-service-model-SaaS filter-business-function-
FR1704369518,Accenture Federal Services,Accenture Federal Services,Accenture Insights Platform (AIP) For Government,https://www.fedramp.gov/assets/img/logos/CSP_logos/Accenture%20Logo.png,Accenture Insights Platform (AIP) For Government,FedRAMP Authorized,7,8,Not Active,No FRR Date,Not Active,2020-06-19T20:00:00.000Z,Not Active,Not Agency Partnered,Not Active,Not In Process,2021-07-27T20:00:00.000Z,JAB,No FRR Date,Not In Process,2021-07-27T20:00:00.000Z,07/23,"Schellman Compliance, LLC",['PaaS'],Government Community Cloud,High,4,"[{'id': 'F1404043549', 'csp': 'Accenture Federal Services', 'cso': 'Accenture Federal Cloud ERP', 'status': 'FedRAMP Authorized', 'impact_level': 'Moderate', 'impact_level_number': '3'}]","['Department of Agriculture', 'Department of Commerce', 'Federal Retirement Thrift Investment Board', 'JAB Authorization', 'National Science Foundation', 'Universal Service Administrative Company']","['22-007-04', '22-025']","The Accenture Insight Platform (AIP), addresses the unique Advanced Analytics needs of U.S. federal agencies, helping them transform Big Data into actionable insight and mission impact faster. This Analytics-as-a-Service brings together best-of-breed software and pre-built accelerators to speed the development and deployment of agency, mission and function specific solutions. AIP meets at the intersection of technology and business-helping Government Agencies become insights-driven organizations. The Accenture Insights Platform is fast, flexible and scalable-ready to transform Agency's performance in weeks, not years.",,matthew.livingston@afs.com,https://www.accenture.com/us-en/services/us-federal-government/applied-intelligence-federal,,No,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-High filter-auth-type-JAB filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Schellman-Compliance-LLC filter-service-model-PaaS filter-business-function-
FR2106555313,"AchieveIt Online, LLC","AchieveIt Online, LLC",AchieveIt,https://www.fedramp.gov/assets/img/logos/CSP_logos/AchieveIt%20Logo.png,AchieveIt,FedRAMP Authorized,1,0,Not Active,No FRR Date,Not Active,Not Active,Not Active,2020-12-10T20:00:00.000Z,Not Active,2021-02-11T20:00:00.000Z,2021-07-29T20:00:00.000Z,Agency,No FRR Date,Not In Process,2021-07-29T20:00:00.000Z,02/11,"A-LIGN Compliance and Security, Inc. dba A-LIGN",['SaaS'],Public Cloud,Low,2,[],['Department of Veterans Affairs'],[''],"AchieveIt helps federal government agencies manage mission critical plans and initiatives. Our cloud-based software platform empowers teams to focus on executing strategic initiatives instead of working on manual tasks. With AchieveIt, leaders can monitor progress on key plans and initiatives in real-time using a single, automated platform that establishes uniformity and visibility across plans and initiatives, promotes accountability throughout the agency, and enables informed decision-making. Trusted by organizations such as the Department of Veterans Affairs, The Joint Pathology Center, and the United States Air Force, AchieveIt accelerates IT modernization efforts by helping federal agencies plan, manage, and report their mission-critical plans and initiatives.",sales@achieveit.com,fedramp@achieveit.com,https://www.achieveit.com/,,Yes,"['Analytics', 'Collaboration', 'Communication']",[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Low filter-auth-type-Agency filter-deployment-model-Public-Cloud filter-small-business-Yes filter-assessor-A-LIGN-Compliance-and-Security-Inc-dba-A-LIGN filter-service-model-SaaS filter-business-function-Analytics filter-business-function-Collaboration filter-business-function-Communication
